start_lat,start_lon,end_lat,end_lon,start_node,end_node
43.071061,-89.407019,43.075897,-89.400235,1,2
43.071061,-89.407019,43.073505,-89.407051,1,18
43.075897,-89.400235,43.071827,-89.397315,2,3
43.075897,-89.400235,43.075631,-89.397316,2,4
43.075897,-89.400235,43.075914,-89.403619,2,6
43.075897,-89.400235,43.073353,-89.401358,2,10
43.071827,-89.397315,43.075631,-89.397316,3,4
43.071827,-89.397315,43.073913,-89.397473,3,41
43.075631,-89.397316,43.07607,-89.405625,4,5
43.075631,-89.397316,43.074837,-89.396803,4,22
43.075631,-89.397316,43.073288,-89.396135,4,36
43.07607,-89.405625,43.075914,-89.403619,5,6
43.075914,-89.403619,43.070977,-89.403744,6,7
43.075914,-89.403619,43.073403,-89.403854,6,20
43.070977,-89.403744,43.071061,-89.407019,7,1
43.070977,-89.403744,43.070914,-89.399689,7,8
43.070914,-89.399689,43.071827,-89.397315,8,3
43.070914,-89.399689,43.074073,-89.392419,8,9
43.074073,-89.392419,43.073353,-89.401358,9,10
43.074073,-89.392419,43.07481,-89.393712,9,34
43.074073,-89.392419,43.07477,-89.390277,9,38
43.073353,-89.401358,43.073403,-89.403854,10,20
43.038541,-89.401184,43.054058,-89.39913,11,12
43.054058,-89.39913,43.062942,-89.404119,12,13
43.062942,-89.404119,43.073506,-89.409433,13,14
43.073506,-89.409433,43.065159,-89.403999,14,15
43.073506,-89.409433,43.073505,-89.407051,14,18
43.073506,-89.409433,43.075181,-89.410405,14,19
43.073506,-89.409433,43.072029,-89.409137,14,27
43.073506,-89.409433,43.07408,-89.406253,14,37
43.065159,-89.403999,43.062942,-89.404119,15,13
43.041663,-89.404071,43.038506,-89.398039,16,17
43.038506,-89.398039,43.038541,-89.401184,17,11
43.073505,-89.407051,43.075181,-89.410405,18,19
43.073505,-89.407051,43.073403,-89.403854,18,20
43.073505,-89.407051,43.072029,-89.409137,18,27
43.075181,-89.410405,43.073403,-89.403854,19,20
43.075181,-89.410405,43.076409,-89.413023,19,106
43.073403,-89.403854,43.070977,-89.403744,20,7
43.073403,-89.403854,43.074849,-89.3914,20,21
43.073403,-89.403854,43.075047,-89.406479,20,31
43.074849,-89.3914,43.074073,-89.392419,21,9
43.074849,-89.3914,43.074837,-89.396803,21,22
43.074849,-89.3914,43.07481,-89.393712,21,34
43.074849,-89.3914,43.07477,-89.390277,21,38
43.074849,-89.3914,43.074745,-89.388354,21,40
43.074837,-89.396803,43.073288,-89.396135,22,36
43.074837,-89.396803,43.073913,-89.397473,22,41
43.0563,-89.399077,43.054058,-89.39913,23,12
43.0563,-89.399077,43.059582,-89.400841,23,24
43.059582,-89.400841,43.059929,-89.403805,24,26
43.075453,-89.412714,43.075181,-89.410405,25,19
43.075453,-89.412714,43.059929,-89.403805,25,26
43.059929,-89.403805,43.072029,-89.409137,26,27
43.072029,-89.409137,43.071061,-89.407019,27,1
43.03858,-89.40307,43.038541,-89.401184,28,11
43.03858,-89.40307,43.044443,-89.403831,28,29
43.069713,-89.404121,43.071061,-89.407019,30,1
43.069713,-89.404121,43.070977,-89.403744,30,7
43.069713,-89.404121,43.075047,-89.406479,30,31
43.075047,-89.406479,43.07607,-89.405625,31,5
43.075047,-89.406479,43.075914,-89.403619,31,6
43.075047,-89.406479,43.073506,-89.409433,31,14
43.075047,-89.406479,43.073505,-89.407051,31,18
43.075047,-89.406479,43.071687,-89.392872,31,32
43.071687,-89.392872,43.074073,-89.392419,32,9
43.07025,-89.390357,43.071687,-89.392872,33,32
43.07025,-89.390357,43.07481,-89.393712,33,34
43.07025,-89.390357,43.071578,-89.388519,33,42
43.07481,-89.393712,43.074837,-89.396803,34,22
43.07481,-89.393712,43.073288,-89.396135,34,36
43.051775,-89.399231,43.054058,-89.39913,35,12
43.073288,-89.396135,43.071827,-89.397315,36,3
43.073288,-89.396135,43.07408,-89.406253,36,37
43.07408,-89.406253,43.07607,-89.405625,37,5
43.07408,-89.406253,43.075914,-89.403619,37,6
43.07408,-89.406253,43.073505,-89.407051,37,18
43.07408,-89.406253,43.073403,-89.403854,37,20
43.07408,-89.406253,43.075047,-89.406479,37,31
43.07408,-89.406253,43.07477,-89.390277,37,38
43.07477,-89.390277,43.07481,-89.393712,38,34
43.049333,-89.400594,43.051775,-89.399231,39,35
43.074745,-89.388354,43.07477,-89.390277,40,38
43.074745,-89.388354,43.073913,-89.397473,40,41
43.074745,-89.388354,43.073724,-89.385494,40,52
43.074745,-89.388354,43.074933,-89.386107,40,68
43.073913,-89.397473,43.075631,-89.397316,41,4
43.073913,-89.397473,43.073288,-89.396135,41,36
43.073913,-89.397473,43.071578,-89.388519,41,42
43.071578,-89.388519,43.076046,-89.384707,42,43
43.076046,-89.384707,43.073372,-89.383802,43,44
43.076046,-89.384707,43.073724,-89.385494,43,52
43.076046,-89.384707,43.074989,-89.382342,43,90
43.098138,-89.326231,43.098615,-89.329604,45,58
43.093708,-89.357055,43.10016,-89.349162,46,47
43.10016,-89.349162,43.106729,-89.343158,47,48
43.10016,-89.349162,43.100083,-89.346548,47,88
43.106729,-89.343158,43.106774,-89.347619,48,49
43.106774,-89.347619,43.095915,-89.354118,49,50
43.106774,-89.347619,43.106881,-89.345137,49,70
43.095915,-89.354118,43.094233,-89.35359,50,66
43.075898,-89.376695,43.073724,-89.385494,51,52
43.073724,-89.385494,43.073372,-89.383802,52,44
43.073724,-89.385494,43.077878,-89.370083,52,53
43.073724,-89.385494,43.074989,-89.382342,52,90
43.077878,-89.370083,43.091766,-89.355489,53,54
43.077878,-89.370083,43.078962,-89.368721,53,84
43.091766,-89.355489,43.093708,-89.357055,54,46
43.091766,-89.355489,43.080257,-89.366954,54,55
43.080257,-89.366954,43.085012,-89.369346,55,56
43.080257,-89.366954,43.081232,-89.365346,55,82
43.080257,-89.366954,43.078962,-89.368721,55,84
43.085012,-89.369346,43.096919,-89.35142,56,57
43.096919,-89.35142,43.095915,-89.354118,57,50
43.096919,-89.35142,43.098615,-89.329604,57,58
43.096919,-89.35142,43.098507,-89.350738,57,64
43.096919,-89.35142,43.095276,-89.352591,57,71
43.098615,-89.329604,43.099786,-89.332692,58,77
43.0874,-89.359165,43.085865,-89.360575,59,60
43.0874,-89.359165,43.088874,-89.357781,59,78
43.085865,-89.360575,43.07876,-89.378724,60,61
43.085865,-89.360575,43.083716,-89.362013,60,83
43.074391,-89.378801,43.075898,-89.376695,63,51
43.098507,-89.350738,43.10016,-89.349162,64,47
43.098507,-89.350738,43.091982,-89.359354,64,65
43.091982,-89.359354,43.093708,-89.357055,65,46
43.091982,-89.359354,43.094233,-89.35359,65,66
43.094233,-89.35359,43.093708,-89.357055,66,46
43.094233,-89.35359,43.102851,-89.345581,66,67
43.094233,-89.35359,43.095276,-89.352591,66,71
43.074933,-89.386107,43.076046,-89.384707,68,43
43.074933,-89.386107,43.073372,-89.383802,68,44
43.074933,-89.386107,43.073724,-89.385494,68,52
43.074933,-89.386107,43.076388,-89.381564,68,69
43.076388,-89.381564,43.076046,-89.384707,69,43
43.106881,-89.345137,43.106729,-89.343158,70,48
43.106881,-89.345137,43.095276,-89.352591,70,71
43.095276,-89.352591,43.095915,-89.354118,71,50
43.114269,-89.357265,43.11295,-89.35855,72,122
43.090108,-89.362594,43.107065,-89.354439,75,76
43.107065,-89.354439,43.106876,-89.351865,76,74
43.107065,-89.354439,43.099786,-89.332692,76,77
43.099786,-89.332692,43.099848,-89.335432,77,62
43.088874,-89.357781,43.07695,-89.373573,78,79
43.07695,-89.373573,43.075898,-89.376695,79,51
43.07279,-89.381014,43.073372,-89.383802,81,44
43.07279,-89.381014,43.074391,-89.378801,81,63
43.07279,-89.381014,43.081232,-89.365346,81,82
43.07279,-89.381014,43.074989,-89.382342,81,90
43.081232,-89.365346,43.083716,-89.362013,82,83
43.081232,-89.365346,43.08245,-89.363518,82,85
43.083716,-89.362013,43.078962,-89.368721,83,84
43.083716,-89.362013,43.08245,-89.363518,83,85
43.078962,-89.368721,43.08245,-89.363518,84,85
